simulation,sample_size,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,profit_factor,expectancy,net_profit,largest_win,largest_loss,avg_trade_duration
356,7000,-0.0007988760394968267,-0.0009710584557114998,-0.46100751331688766,384,0.3984375,0.7137991974687642,-0.020831189904557415,-7.999176923350049,0.3485305264078479,-0.4344097054336032,14.8125
357,7000,-0.0013537590706870105,-0.0015546158023673343,-0.7890123831981986,391,0.3657289002557545,0.5541708439947249,-0.034651327989745496,-13.548669243990489,0.6134502782900337,-0.6521884191949554,14.478260869444444
358,7000,-0.0007498509791868855,-0.0009342216610274697,-0.42402562463858956,395,0.4,0.7326008304549182,-0.019011608449425454,-7.509585337523056,0.7001078729574928,-0.6831396814707437,13.33924050611111
359,7000,-0.0009074081221291635,-0.0009695265935084535,-0.5244071956613371,355,0.36338028169014086,0.65718878949705,-0.025591939691752844,-9.08513859057226,0.8439230038807105,-0.5618900121474549,15.06760563361111
360,7000,-0.001089152341719273,-0.001222450379072533,-0.6405695736210614,380,0.36578947368421055,0.6199192550072742,-0.02868936671853512,-10.901959353043345,0.5404703136598265,-0.501579559188258,13.584210526111113
361,7000,-0.0009283773028248106,-0.0010995372055134793,-0.533345539949297,375,0.368,0.6758505290036152,-0.02478505067450642,-9.294394002939907,0.6867015757513225,-0.493434107344112,13.831999999999999
362,7000,-0.00120324659743128,-0.001368950347453632,-0.6777202338493994,385,0.37402597402597404,0.5980639137382734,-0.03128101090819036,-12.043189199653291,0.6440212828208955,-0.6748661746498024,13.758441558333333
363,7000,-0.0009092488434955157,-0.0010433693645589095,-0.5453214497259641,375,0.39466666666666667,0.6592649937291556,-0.024276232842179238,-9.103587315817215,0.3730858636111239,-0.5502837051539028,13.658666666666665
364,7000,-0.0010169801994041336,-0.001159021554876812,-0.5448404256716278,393,0.4071246819338422,0.6615919018606845,-0.025903736707622173,-10.18016852609551,0.4377594639644055,-1.4028202909302272,14.091603053333333
365,7000,-0.0008338331645414655,-0.0009736998908386721,-0.49150423297401513,374,0.3663101604278075,0.6841219764975234,-0.02232470427382121,-8.349439398409132,0.5235007388427387,-0.3950404625520011,13.981283422222223
